"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_6.tif", "1082", "519", "53516", "2010397"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_7.tif", "118", "131", "17587", "2366508"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_8.tif", "1", "1", "19354", "3867248"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_10.tif", "1", "1", "48078", "692060"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_11.tif", "327", "304", "25352", "512617"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_12.tif", "581", "143", "20991", "1289467"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_13.tif", "698", "413", "63436", "2812136"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_14.tif", "893", "377", "55643", "2092214"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_1.tif", "740", "225", "42375", "924518"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_2.tif", "738", "222", "42578", "882078"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_3.tif", "234", "122", "13020", "826862"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_4.tif", "84", "114", "20262", "1328351"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_5.tif", "271", "55", "16496", "1135331"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_6.tif", "532", "252", "41654", "1979415"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_7.tif", "710", "427", "83709", "1548834"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_8.tif", "212", "123", "19402", "695475"
"w1_HelaKyoto_Gapdh_2597_p09_cy3__Cell_CP_9.tif", "544", "359", "56341", "1206628"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_10.tif", "0", "0", "15626", "813384"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_12.tif", "619", "368", "42508", "1318997"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_13.tif", "1", "1", "46241", "1946690"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_14.tif", "116", "329", "41496", "1744026"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_15.tif", "253", "168", "41394", "3641790"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_16.tif", "276", "190", "23472", "1584964"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_17.tif", "1", "0", "50343", "4467759"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_18.tif", "13", "146", "17868", "1483374"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_4.tif", "4", "81", "16236", "950198"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_6.tif", "319", "30", "19488", "984314"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_7.tif", "475", "273", "30242", "1100886"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_8.tif", "482", "231", "38974", "1869147"
"w1_HelaKyoto_Gapdh_2597_p10_cy3__Cell_CP_9.tif", "366", "277", "34066", "862603"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_10.tif", "679", "461", "55140", "1898224"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_11.tif", "416", "487", "59445", "3057110"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_12.tif", "720", "279", "61730", "2497792"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_13.tif", "236", "178", "15370", "886205"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_14.tif", "265", "144", "19972", "658618"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_15.tif", "13", "1", "7211", "204095"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_16.tif", "35", "335", "55475", "1944119"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_17.tif", "358", "192", "16936", "894874"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_18.tif", "229", "208", "39258", "1044044"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_19.tif", "212", "201", "48635", "2540961"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_21.tif", "206", "224", "51361", "776796"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_3.tif", "586", "613", "39785", "910765"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_4.tif", "671", "275", "33550", "595809"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_5.tif", "3", "1", "30443", "1289943"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_6.tif", "422", "128", "20059", "897270"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_7.tif", "636", "536", "67741", "1087201"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_8.tif", "766", "351", "70224", "5170452"
"w1_HelaKyoto_Gapdh_2597_p11_cy3__Cell_CP_9.tif", "707", "389", "50656", "919448"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_10.tif", "1", "1", "157899", "7540299"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_12.tif", "391", "120", "26862", "1960271"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_13.tif", "498", "185", "25864", "1353888"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_14.tif", "5", "5", "17550", "2170479"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_15.tif", "567", "189", "20328", "3064565"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_16.tif", "298", "135", "22082", "1597080"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_17.tif", "831", "420", "91660", "6765970"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_18.tif", "2", "1", "11043", "218632"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_19.tif", "334", "150", "26633", "1721685"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_20.tif", "55", "100", "20590", "1528703"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_21.tif", "531", "152", "51881", "1560394"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_22.tif", "317", "141", "12894", "528764"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_24.tif", "553", "150", "57654", "3538407"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_26.tif", "540", "318", "32142", "716995"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_27.tif", "535", "492", "119902", "1090087"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_28.tif", "139", "76", "22022", "1762187"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_29.tif", "374", "215", "40627", "1707423"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_32.tif", "754", "331", "59790", "4900056"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_5.tif", "114", "1", "20123", "3089899"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_7.tif", "443", "133", "16344", "4361417"
"w1_HelaKyoto_Gapdh_2597_p12_cy3__Cell_CP_8.tif", "801", "507", "52262", "2971092"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_11.tif", "327", "62", "16886", "1285713"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_12.tif", "478", "261", "23937", "660417"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_14.tif", "63", "87", "17692", "1104417"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_15.tif", "463", "318", "47284", "1987161"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_16.tif", "403", "261", "64594", "491072"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_17.tif", "500", "326", "71860", "1628660"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_18.tif", "409", "81", "15348", "470883"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_19.tif", "5", "38", "9688", "209930"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_20.tif", "673", "282", "26024", "1123699"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_3.tif", "39", "193", "35640", "7762987"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_5.tif", "158", "119", "65966", "2580872"
"w1_HelaKyoto_Gapdh_2597_p13_cy3__Cell_CP_7.tif", "265", "110", "15846", "398769"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_10.tif", "360", "310", "39307", "1415086"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_11.tif", "578", "380", "73395", "1774527"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_12.tif", "412", "80", "19550", "1538697"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_13.tif", "12", "177", "29923", "657082"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_14.tif", "478", "166", "31725", "6033193"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_16.tif", "163", "90", "17723", "9355011"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_17.tif", "523", "215", "37342", "1248710"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_18.tif", "0", "1", "50322", "1845555"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_19.tif", "478", "251", "40098", "4255419"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_20.tif", "438", "391", "34277", "1290765"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_22.tif", "703", "287", "54997", "5099337"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_23.tif", "509", "219", "27805", "4383915"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_24.tif", "32", "1", "46799", "4609835"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_25.tif", "362", "232", "22815", "1655673"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_27.tif", "293", "172", "12567", "297695"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_28.tif", "862", "355", "56623", "5074216"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_29.tif", "298", "124", "19730", "2505640"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_30.tif", "222", "494", "63057", "1365304"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_31.tif", "359", "63", "18065", "584076"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_33.tif", "172", "214", "9039", "300982"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_34.tif", "56", "89", "19154", "873616"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_3.tif", "0", "0", "40072", "961868"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_4.tif", "1", "1", "15297", "658084"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_5.tif", "445", "210", "33638", "804237"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_6.tif", "16", "1", "82862", "2302776"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_7.tif", "544", "472", "45826", "1784805"
"w1_HelaKyoto_Gapdh_2597_p14_cy3__Cell_CP_8.tif", "0", "0", "18355", "600921"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_10.tif", "1", "1", "13252", "559885"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_11.tif", "88", "52", "12904", "837800"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_12.tif", "194", "146", "11369", "560336"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_13.tif", "1", "34", "18486", "429055"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_14.tif", "1", "1", "44317", "1529377"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_15.tif", "485", "238", "45051", "2630821"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_16.tif", "1", "124", "36573", "1018127"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_17.tif", "179", "47", "12961", "414226"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_18.tif", "289", "105", "16513", "1461605"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_19.tif", "1", "1", "86075", "3489077"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_1.tif", "396", "274", "22364", "14963387"
"w1_HelaKyoto_Gapdh_2597_p15_cy3__Cell_CP_20.tif", "1002", "814", "81405", "3929525"
